date,building_number,month,year,container_type,service_type,bill_description,description,bill_desc_original,desc_original,container_quantity,volume_per_container,weekly_pickups,volume_collected_per_week,total_volume_per_week,waste_stream,share_of_commingled_volume,total_commingled_waste,waste_this_month,data_version
1/1/14,7147,January,2014,6FL,FL,Telephone Exchange,Telephone Exchange,Telephone Exchange,Telephone Exchange,1,6,2,12,3558,On-Grounds,0.34,179.02,0.6,032820-00
1/1/14,1142,January,2014,8FL,FL,Jordan Hall Pick Up1,Jordan/Pinn Hall,Jordan Hall Pick Up1,Jordan/Pinn Hall,1,8,5,40,3558,Clinical MSW,1.12,179.02,2.01,032820-00
1/1/14,1142,January,2014,8FL,FL,Jordan Hall Can 2,Jordan/Pinn Hall,Jordan Hall Can 2,Jordan/Pinn Hall,2,8,6,96,3558,Clinical MSW,2.7,179.02,4.83,032820-00
1/1/14,1142,January,2014,8FL,FL,Jordan Hall  Can 1,Jordan/Pinn Hall,Jordan Hall  Can 1,Jordan/Pinn Hall,1,8,5,40,3558,Clinical MSW,1.12,179.02,2.01,032820-00
1/1/14,534,January,2014,8FL,FL,JAG School Addition,JAG School,JAG School Addition,JAG School,1,8,1,8,3558,JAG School,0.22,179.02,0.4,032820-00
1/1/14,532,January,2014,8FL,FL,JAG School,JAG School,JAG School,JAG School,1,8,5,40,3558,JAG School,1.12,179.02,2.01,032820-00
1/1/14,5535,January,2014,T96,FL,Intramural Sports,Intramural Sports,Intranural Sports,Intramural Sports,1,0.5,1,0.5,3558,IM-Rec,0.01,179.02,0.03,032820-00
1/1/14,441,January,2014,T96,FL,International House,International House,Interntational House,International House,2,0.5,1,1,3558,Housing,0.03,179.02,0.05,032820-00
1/1/14,2210,January,2014,8FL,FL,Humphreys & Echols,Humphreys & Echols,Humprhreys & Echols,Humphreys & Echols,2,8,6,96,3558,Housing,2.7,179.02,4.83,032820-00
1/1/14,356,January,2014,2FL,FL,High Energy Lab,High Energy Lab,High Energy Lab,High Energy Lab,1,2,1,2,3558,On-Grounds,0.06,179.02,0.1,032820-00
1/1/14,2390,January,2014,8FL,FL,Hereford College Up,Hereford College,Hereford College Up,Hereford College,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,2390,January,2014,8FL,FL,Hereford College Low,Hereford College,Hereford Colleg Low,Hereford College,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,2210,January,2014,8FL,FL,Hancock House,Hancock House,Hancock House,Hancock House,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,67,January,2014,4FL,FL,Halsey Hall,Halsey Hall,Halsey Hall,Halsey Hall,1,4,6,24,3558,On-Grounds,0.67,179.02,1.21,032820-00
1/1/14,1142,January,2014,8FL,FL,Jordan Hall Pick Up2,Jordan/Pinn Hall,Jordan Hall Pick Up2,Jordan/Pinn Hall,2,8,5,80,3558,Clinical MSW,2.25,179.02,4.03,032820-00
1/1/14,2440,January,2014,8FL,FL,Gwathey House,Gwathey Hosue,Gwathey House,Gwathey Hosue,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,3754A,January,2014,8FL,FL,Fontaine Rsch Park,Fontaine Research Park,Fontainer Res. Park,Fontaine Research Park,1,8,3,24,3558,Off-Grounds,0.67,179.02,1.21,032820-00
1/1/14,3760,January,2014,8FL,FL,Fontaine Rsch Park,Fontaine Research Park,Fontaine Rsch Park,Fontaine Research Park,1,8,3,24,3558,Off-Grounds,0.67,179.02,1.21,032820-00
1/1/14,1760,January,2014,8FL,FL,Fontaine Rsch  480,Fontaine Research Park,Fontaine Rsch  480,Fontaine Research Park,1,8,3,24,3558,Off-Grounds,0.67,179.02,1.21,032820-00
1/1/14,3754A,January,2014,8FL,FL,Fontaine Res. Park 2,Fontaine Research Park,Fontaine Res. Park 2,Fontaine Research Park,1,8,3,24,3558,Off-Grounds,0.67,179.02,1.21,032820-00
1/1/14,3755,January,2014,8FL,FL,Fontaine Res Park 3,Fontaine Research Park,Fontaine Res Park 3,Fontaine Research Park,1,8,5,40,3558,Off-Grounds,1.12,179.02,2.01,032820-00
1/1/14,407,January,2014,4FL,FL,Fayerweather Hall,Fayerweather Hall,Fayerweather Hall,Fayerweather Hall,1,4,3,12,3558,On-Grounds,0.34,179.02,0.6,032820-00
1/1/14,603,January,2014,4FL,FL,Faulkner Miller Ctr,Faulkner Miller Court,Faulkner Miller Ctr,Faulkner Miller Court,1,4,1,4,3558,Off-Grounds,0.11,179.02,0.2,032820-00
1/1/14,2565,January,2014,8FL,FL,Faulkner Dorms,Faulkner Dorms,Faulkner Dorms,Faulkner Dorms,1,8,6,48,3558,Housing,1.35,179.02,2.42,032820-00
1/1/14,228,January,2014,8FL,FL,Fac Mgt Sawdust,Facilities Mgt Sawdust,Fac Mgt Sawdust,Facilities Mgt Sawdust,1,8,1,8,3558,Maintenance,0.22,179.02,0.4,032820-00
1/1/14,228,January,2014,4FL,FL,Fac Mgt Landscape,Facilities Mgt Landscape,Fac Mgt Landscape,Facilities Mgt Landscape,1,4,2,8,3558,Maintenance,0.22,179.02,0.4,032820-00
1/1/14,1148,January,2014,T96,FL,Ep Trailer,EP Trailer,EP Trailer,EP Trailer,2,0.5,2,2,3558,Maintenance,0.06,179.02,0.1,032820-00
1/1/14,263,January,2014,4FL,FL,Env Health & Safety,Environmental Health & Safety,Env. Health & Safety,Environmental Health & Safety,1,4,2,8,3558,On-Grounds,0.22,179.02,0.4,032820-00
1/1/14,131,January,2014,6FL,FL,Elson Student Health,Elson Student Health,Elson Student Health,Elson Student Health,1,6,3,18,3558,Clinical MSW,0.51,179.02,0.91,032820-00
1/1/14,0,January,2014,8FL,FL,Fontana Food Center,Fontana Food Center,Fontana Food Ctr,Fontana Food Center,1,8,5,40,3558,Aramark,1.12,179.02,2.01,032820-00
1/1/14,1628,January,2014,T96,FL,KCRC Cochran House,KCRC Cochran House,KCRC Cochran House,KCRC Cochran House,1,0.5,1,0.5,3558,Off-Grounds,0.01,179.02,0.03,032820-00
1/1/14,1626,January,2014,4FL,FL,KCRC Commonwealth Court,KCRC Commonwealth Court,KCRC Commwlth Ct,KCRC Commonwealth Court,1,4,1,4,3558,Off-Grounds,0.11,179.02,0.2,032820-00
1/1/14,2368,January,2014,8FL,FL,Kellogg House,Kellogg House,Kellogg Dorm,Kellogg House,1,8,4,32,3558,Housing,0.9,179.02,1.61,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.04,7.04,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.05,7.05,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,5.18,5.18,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,8.01,8.01,032820-00
1/1/14,,January,2014,FL,FL,Medical Front Load,Medical Front Load,Medical Front Load,Medical Front Load,1,,1,0,,Clinical MSW,100,7.86,7.86,032820-00
